Format,LMUTelemetry v3
Version,1
Player,Daniel Skraba
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Corvette Racing #33:LM
SessionUTC,2025-11-21T10:49:17Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
191.390,0,130.73,6613.57,0.00,63.49,58.71,2,-339.28,900.38
191.390,0,129.96,6549.45,0.00,63.49,97.85,2,-339.66,901.00
191.390,0,129.06,6474.42,0.00,63.49,100.00,2,-340.04,901.61
191.390,0,128.19,6411.67,0.00,65.08,100.00,2,-340.41,902.21
198.695,0,126.85,6373.47,0.00,63.49,100.00,2,-340.78,902.81
198.695,0,125.94,6340.73,0.00,63.49,100.00,2,-341.15,903.41
198.695,0,125.56,6302.54,0.00,63.49,100.00,2,-341.51,904.00
198.695,0,124.14,6258.88,0.00,63.49,100.00,2,-341.87,904.59
198.695,0,123.61,6204.31,0.00,63.49,100.00,2,-342.23,905.18
198.695,0,122.33,6152.48,0.00,61.90,100.00,2,-342.58,905.76
198.695,0,121.35,6110.19,0.00,61.90,100.00,2,-342.93,906.33
198.695,0,120.68,6082.90,0.00,61.90,100.00,2,-343.27,906.91
198.695,0,119.13,6058.35,0.00,61.90,100.00,2,-343.61,907.48
198.695,0,118.27,6058.35,0.00,61.90,100.00,2,-343.95,908.04
205.401,0,117.55,5987.41,0.00,61.90,2.35,2,-344.28,908.60
205.401,0,116.76,5942.39,0.00,61.90,2.74,2,-344.60,909.16
205.401,0,115.88,5901.47,0.00,61.90,2.94,2,-344.92,909.72
205.401,0,115.22,5831.89,0.00,60.32,3.33,2,-345.24,910.27
205.401,0,114.34,5778.69,0.00,61.90,3.52,2,-345.56,910.82
205.401,0,113.56,5730.94,0.00,60.32,3.72,2,-345.87,911.37
205.401,0,112.44,5661.37,0.00,60.32,3.91,2,-346.17,911.91
205.401,0,111.65,5605.44,0.00,61.90,4.11,2,-346.47,912.45
205.401,0,110.78,5564.51,0.00,60.32,4.31,2,-346.77,912.99
205.401,0,109.90,5670.92,53.97,61.90,4.31,0,-347.06,913.53
205.401,0,109.90,5670.92,53.97,61.90,4.31,0,-347.06,913.53
211.642,0,109.06,6106.09,41.27,60.32,4.31,0,-347.35,914.06
211.642,0,108.44,6384.39,31.75,60.32,4.11,0,-347.63,914.59
211.642,0,107.56,6530.36,23.81,60.32,3.91,0,-347.91,915.12
211.642,0,106.50,6559.00,19.05,60.32,3.91,0,-348.19,915.64
211.642,0,105.83,6515.35,14.29,60.32,3.72,0,-348.45,916.17
211.642,0,104.71,6434.86,0.00,60.32,3.52,1,-348.72,916.69
211.642,0,103.85,6378.93,0.00,58.73,3.13,1,-348.98,917.20
211.642,0,103.04,6327.09,0.00,58.73,2.94,1,-349.23,917.72
211.642,0,102.13,6279.35,0.00,57.14,2.74,1,-349.48,918.23
211.642,0,101.63,6235.69,0.00,55.56,2.35,1,-349.73,918.73
217.425,0,101.02,6183.85,0.00,53.97,2.15,1,-349.98,919.24
217.425,0,100.26,6137.47,0.00,52.38,2.15,1,-350.22,919.74
217.425,0,99.65,6096.54,0.00,50.79,2.15,1,-350.46,920.23
217.425,0,99.09,6061.08,0.00,49.21,2.35,1,-350.70,920.73
217.425,0,98.50,6021.51,0.00,47.62,2.35,1,-350.93,921.22
217.425,0,97.99,5977.86,0.00,46.03,2.74,1,-351.17,921.71
217.425,0,97.39,5945.12,0.00,44.44,3.13,1,-351.40,922.20
217.425,0,96.59,5906.92,0.00,44.44,3.33,1,-351.63,922.69
217.425,0,95.93,5876.91,0.00,44.44,3.33,1,-351.85,923.17
217.425,0,95.44,5842.81,0.00,42.86,3.72,1,-352.08,923.66
222.820,0,94.65,5805.97,0.00,42.86,3.91,1,-352.30,924.14
222.820,0,93.95,5765.05,0.00,42.86,4.31,1,-352.52,924.61
